ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_XY,Metadata_basename,AreaShape_Area,AreaShape_FormFactor,Intensity_IntegratedIntensity_Channel1DNACorr,Intensity_IntegratedIntensity_Channel2EdUCorr,Intensity_IntegratedIntensity_Channel3gH2AXCorr,Intensity_MaxIntensity_Channel1DNACorr,Intensity_MaxIntensity_Channel2EdUCorr,Intensity_MaxIntensity_Channel3gH2AXCorr,Intensity_MeanIntensity_Channel1DNACorr,Intensity_MeanIntensity_Channel2EdUCorr,Intensity_MeanIntensity_Channel3gH2AXCorr,Intensity_MinIntensity_Channel1DNACorr,Intensity_MinIntensity_Channel2EdUCorr,Intensity_MinIntensity_Channel3gH2AXCorr,Location_Center_X,Location_Center_Y
1,1,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,135,0.5323349333910294,1.6744236070662737,0.06364219321403652,0.26248559390660375,0.017530595883727074,0.0008285138756036758,0.0039682537317276,0.012403137830120545,0.0004714236534373076,0.0019443377326415093,0.008772280067205429,0.00015742098912596703,0.00044533947948366404,1285.237037037037,39.84444444444444
1,2,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,482,0.9175538120618901,13.81674953084439,0.44023828220088035,1.5580406816443428,0.058429982513189316,0.0019203326664865017,0.006716995034366846,0.028665455458183383,0.0009133574319520339,0.0032324495469799644,0.008136389777064323,0.00014999497216194868,0.0014978230465203524,842.0290456431535,325.9771784232365
1,3,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,579,0.7693555143761014,12.64047325681895,0.5795012171147391,1.9971200828440487,0.05445369333028793,0.00216122018173337,0.006248024757951498,0.021831560029048274,0.0010008656599563715,0.0034492574833230546,0.008249478414654732,0.00020812777802348137,0.0013671991182491183,73.22279792746114,599.0483592400691
1,4,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,846,0.8515792715840226,24.91509222984314,0.9359561769524589,9.692746476503089,0.05506671592593193,0.0022059124894440174,0.03541993722319603,0.029450463628656193,0.0011063311784308026,0.011457147135346442,0.008358783088624477,0.0,0.0027798721566796303,458.7955082742317,660.3676122931442
1,5,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,449,0.9023329562303628,14.265984477940947,0.42083281243685633,1.2854352862923406,0.06074298918247223,0.0022205233108252287,0.0054001533426344395,0.031772793937507676,0.000937266842843778,0.0028628848247045447,0.007748341653496027,0.00011478457599878311,0.0009750545141287148,467.2850779510022,813.2873051224944
1,6,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,595,0.7553843241140632,11.741431958973408,0.6284130912972614,1.931344197015278,0.038592543452978134,0.0020565520972013474,0.008546327240765095,0.01973349909071161,0.0010561564559617839,0.003245956633639123,0.008943970315158367,0.00033210194669663906,0.0013288948684930801,162.69579831932774,1329.327731092437
1,7,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,728,0.7968733783968821,20.89328524377197,6.032233163481578,31.832497826311737,0.05652773752808571,0.02044706605374813,0.061764370650053024,0.028699567642543916,0.008286034565221949,0.04372595855262601,0.007912805303931236,0.001877244678325951,0.005351451691240072,890.0989010989011,1569.3791208791208
1,8,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,581,0.8534860705127264,18.04782685916871,23.238524539396167,8.914949854835868,0.06122924014925957,0.06122029200196266,0.040598414838314056,0.031063385299774024,0.03999746048088841,0.015344147770801838,0.007883246056735516,0.006302934139966965,0.0033373318146914244,703.5989672977624,1600.3803786574872
1,9,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,596,0.8255519229697791,18.16773055307567,26.56681945407763,5.390647936612368,0.06123214215040207,0.06122293695807457,0.028470227494835854,0.03048276938435515,0.04457520042630475,0.009044711303040884,0.007901324890553951,0.0036508049815893173,0.0016469631809741259,847.3624161073825,1708.9127516778524
1,10,file:/Users/confocal/Desktop/2018-11-05%20Demis/2018-11-05%20raw%20data/Atr%2BC%20Day2.nd2_XYpoints/Atr%2BC%20Day2_XY0001.tif,0,0,1,Atr+C Day2,633,0.8723641048319036,15.939154489897192,27.60134092019871,8.392552870791405,0.04733382165431976,0.06122509390115738,0.03079884499311447,0.025180338846599037,0.04360401409194109,0.013258377363019597,0.00781277660280466,0.007589499931782484,0.0026305029168725014,756.2733017377567,1780.2448657187995
