Count_C1DNANuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,FileName_C1illum,FileName_C2illum,FileName_C3illum,FileName_raw,ImageNumber,Metadata_XY,Metadata_basename,Scaling_raw,Threshold_FinalThreshold_C1DNANuclei
10.0,0,0.0,1.5800000000000054,0,0.25,0.23999999999999488,1.2800000000000082,0.5699999999999932,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0019.tif,19,19,Atr+C Day2,65535,0.01
8.0,0,0.0,1.1900000000000048,0,0.35999999999999943,0.4200000000000017,2.740000000000002,1.25,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0020.tif,20,20,Atr+C Day2,65535,0.01
4.0,0,0.0,1.9100000000000001,0,0.35999999999999943,0.4099999999999966,2.6899999999999977,0.9799999999999969,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0021.tif,21,21,Atr+C Day2,65535,0.01
10.0,0,0.0,1.9399999999999977,0,0.35999999999999943,0.4099999999999966,2.739999999999995,1.1899999999999977,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0022.tif,22,22,Atr+C Day2,65535,0.01
7.0,0,0.0,1.2299999999999969,0,0.3399999999999963,0.4200000000000017,2.6400000000000006,1.1899999999999977,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0023.tif,23,23,Atr+C Day2,65535,0.01
3.0,0,0.0,1.9500000000000028,0,0.37999999999999545,0.4100000000000037,2.7099999999999937,1.25,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0024.tif,24,24,Atr+C Day2,65535,0.01
8.0,0,0.0,2.1599999999999966,0,0.3499999999999943,0.4399999999999977,2.700000000000003,1.249999999999993,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0025.tif,25,25,Atr+C Day2,65535,0.01
2.0,0,0.0,2.1500000000000057,0,0.37000000000000455,0.4299999999999997,2.730000000000004,1.2299999999999969,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0026.tif,26,26,Atr+C Day2,65535,0.01
14.0,0,0.0,1.5699999999999932,0,0.36999999999999744,0.22000000000000597,1.3000000000000043,0.5899999999999963,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0027.tif,27,27,Atr+C Day2,65535,0.01
21.0,0,0.0,1.8100000000000023,0,0.3500000000000085,0.4399999999999906,2.710000000000001,1.3299999999999983,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0028.tif,28,28,Atr+C Day2,65535,0.01
10.0,0,0.0,1.1499999999999915,0,0.4099999999999966,0.4000000000000057,2.6899999999999977,1.3099999999999952,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0029.tif,29,29,Atr+C Day2,65535,0.01
14.0,0,0.0,2.059999999999995,0,0.6100000000000065,0.759999999999998,3.4099999999999966,1.3400000000000034,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0030.tif,30,30,Atr+C Day2,65535,0.01
12.0,0,0.0,1.25,0,0.3399999999999963,0.4399999999999977,2.6199999999999974,1.3200000000000003,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0031.tif,31,31,Atr+C Day2,65535,0.01
15.0,0,0.0,1.1599999999999966,0,0.3499999999999943,0.3900000000000077,2.740000000000002,1.3200000000000003,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0032.tif,32,32,Atr+C Day2,65535,0.01
16.0,0,0.0,1.7000000000000028,0,0.39000000000000057,0.3900000000000077,2.700000000000003,1.3299999999999912,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0033.tif,33,33,Atr+C Day2,65535,0.01
14.0,0,0.0,1.1099999999999994,0,0.3900000000000077,0.44000000000000483,2.6700000000000017,1.2299999999999969,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0034.tif,34,34,Atr+C Day2,65535,0.01
7.0,0,0.0,1.0600000000000023,0,0.21000000000000085,0.240000000000002,1.279999999999994,0.6000000000000085,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0035.tif,35,35,Atr+C Day2,65535,0.01
9.0,0,0.0,1.3599999999999994,0,0.37999999999999545,0.4199999999999946,2.229999999999997,1.0799999999999983,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0036.tif,36,36,Atr+C Day2,65535,0.01
1.0,0,0.0,1.3299999999999983,0,0.37999999999999545,0.4300000000000068,2.289999999999999,1.1099999999999994,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0037.tif,37,37,Atr+C Day2,65535,0.01
7.0,0,0.010000000000005116,1.2199999999999989,0,0.3400000000000034,0.4199999999999946,2.2700000000000102,1.1099999999999994,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0038.tif,38,38,Atr+C Day2,65535,0.01
9.0,0,0.0,1.2299999999999898,0,0.36000000000000654,0.4099999999999966,2.3000000000000043,1.1000000000000014,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0039.tif,39,39,Atr+C Day2,65535,0.01
2.0,0,0.0,1.2399999999999949,0,0.3200000000000074,0.36999999999999744,2.289999999999999,1.1199999999999974,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0040.tif,40,40,Atr+C Day2,65535,0.01
9.0,0,0.0,2.6499999999999986,0,0.4099999999999966,0.5300000000000082,2.020000000000003,0.759999999999998,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0041.tif,41,41,Atr+C Day2,65535,0.01
13.0,0,0.0,0.9399999999999977,0,0.28000000000000114,0.3999999999999986,2.3000000000000043,0.6799999999999997,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0042.tif,42,42,Atr+C Day2,65535,0.01
16.0,0,0.0,1.509999999999998,0,0.45000000000000284,0.5500000000000043,2.0,0.759999999999998,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0043.tif,43,43,Atr+C Day2,65535,0.01
7.0,0,0.0,0.7999999999999972,0,0.2600000000000051,0.36000000000000654,1.7800000000000011,0.8699999999999903,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0044.tif,44,44,Atr+C Day2,65535,0.01
0.0,0,0.0,0.8700000000000045,0,0.3400000000000034,0.3500000000000085,1.5600000000000023,0.47999999999998977,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0045.tif,45,45,Atr+C Day2,65535,0.01
9.0,0,0.0,0.8499999999999943,0,0.3400000000000034,0.36999999999999034,1.75,0.8100000000000023,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0046.tif,46,46,Atr+C Day2,65535,0.01
6.0,0,0.0,0.7700000000000031,0,0.269999999999996,0.35999999999999943,1.7999999999999972,0.8700000000000045,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0047.tif,47,47,Atr+C Day2,65535,0.01
