ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,205.9643312101911,27.950318471337578,0,1
1,2,1185.7800276115968,34.795674183156926,0,2
1,3,944.4785992217899,40.06614785992218,0,3
1,4,1119.60092095165,45.58557175748273,0,4
1,5,723.8606431852986,51.46630934150077,0,5
1,6,461.4162849872774,75.90788804071246,0,6
1,7,840.123727486296,81.11667971808927,0,7
1,8,1072.887246852764,90.63656267104543,0,8
1,9,651.8599137931035,104.88864942528735,0,9
1,10,704.0863531225906,101.92752505782575,0,10
1,11,75.06389301634472,109.71223377909857,0,11
1,12,172.4058608058608,121.95970695970696,0,12
1,13,592.3353399433428,123.8792492917847,0,13
1,14,516.1628733997155,138.14864864864865,0,14
1,15,741.069994574064,138.8431904503527,0,15
1,16,552.1736785329018,151.41423948220066,0,16
1,17,399.93074581430744,158.8310502283105,0,17
1,18,820.4081463009144,164.83125519534497,0,18
1,19,316.73749093546047,166.66642494561276,0,19
1,20,67.62063492063493,172.03492063492064,0,20
1,21,1130.8002336448599,178.3533878504673,0,21
1,22,1199.145129224652,197.8320079522863,0,22
1,23,155.6810655147588,199.4823614110871,0,23
1,24,706.2138408304498,209.14740484429066,0,24
1,25,1093.7261592300963,217.73490813648294,0,25
1,26,316.03566529492457,219.39368998628257,0,26
1,27,893.2381877022653,222.0304207119741,0,27
1,28,460.03165584415586,226.48701298701297,0,28
1,29,1009.6365202411714,245.36089577950042,0,29
1,30,138.42971147943524,244.23572744014734,0,30
1,31,186.00075018754688,254.2610652663166,0,31
1,32,600.9322183098592,256.4348591549296,0,32
1,33,1071.7328080229227,263.506446991404,0,33
1,34,269.5917197452229,272.7770700636943,0,34
1,35,756.4556873691556,276.49127704117234,0,35
1,36,383.906577693041,279.5548141086749,0,36
1,37,60.121167883211676,285.27956204379564,0,37
1,38,208.00570342205324,290.0209125475285,0,38
1,39,907.8809121621622,301.94594594594594,0,39
1,40,1163.6456166419018,303.79420505200596,0,40
1,41,871.172932330827,303.46186895810956,0,41
1,42,510.3862031504617,326.8891906572515,0,42
1,43,553.800494641385,327.4270403957131,0,43
1,44,169.78138942001274,334.2549394518802,0,44
1,45,1188.4835501147666,334.300688599847,0,45
1,46,1036.340239912759,337.0730643402399,0,46
1,47,342.89302022178737,339.6836268754077,0,47
1,48,1066.9601694915254,345.8754237288136,0,48
1,49,956.8546617915905,355.8619744058501,0,49
1,50,487.6954459203036,377.46774193548384,0,50
1,51,56.65714285714286,392.4635714285714,0,51
1,52,242.02287822878228,401.6671586715867,0,52
1,53,744.2887377173091,417.5479969765684,0,53
1,54,133.9071038251366,417.24681238615665,0,54
1,55,597.125,423.85407725321886,0,55
1,56,162.33265720081135,427.2819472616633,0,56
1,57,312.4663962920046,435.47682502896873,0,57
1,58,894.3563611491109,450.24897400820794,0,58
1,59,151.58578607322326,462.94256999282123,0,59
1,60,279.03607503607503,474.2852332852333,0,60
1,61,184.53722179585571,478.83115886415965,0,61
1,62,241.8719806763285,503.4210950080515,0,62
1,63,211.8873949579832,513.7890756302521,0,63
1,64,795.3585951940851,515.4195933456562,0,64
1,65,1149.4167872648336,514.7424023154848,0,65
1,66,397.2063829787234,540.9446808510638,0,66
1,67,201.5212181727409,555.6260609086371,0,67
1,68,335.2425295343989,571.3724808895066,0,68
1,69,995.1214777708203,583.8628678772699,0,69
1,70,366.78950953678475,589.1955040871935,0,70
1,71,237.55659121171772,602.4161118508655,0,71
